"Item","Description","Quantity","Cost","Price"
"PROCESSOR:A6-7480 APU AMD","AMD APU A6-7480 W/ RADEON R5 GRAPHICS | 3.8GHZ MAX, 1MB CACHE | 8 CORES (2 CPU + 6 GPU) | FM2+ |...",2,1715.70,2205.90
"PROCESSOR:A8-7680 APU AMD","AMD APU A8-7680 W/ RADEON R7 GRAPHICS | 3.8GHZ MAX, 2MB CACHE | 10 CORES (4 CPU + 8 GPU) | FM2+ ...",0,2198.70,2826.90
"PROCESSOR:ATHLON 200GE AMD","AMD ATHLON 200GE WITH RADEON VEGA 3 GRAPHICS 2 CORES, 4 THREADS PROCESSOR 3.2 GHZ CLOCK FREQUENC...",4,3084.40,3645.20
"PROCESSOR:ATHLON 3000G AMD","AMD ATHLON 3000G W/ RADEON VEGA 3 GRAPHICS | 2 CORES, 4 THREADS | 3.5GHZ BASE | 5MB CACHE, UNLOC...",1,3437.50,3906.25
"PROCESSOR:INTEL CORE I3 10TH GEN BUNDLE","INTEL CORE  i3-10100 BOX 10TH GEN PROCESSOR 6M CACHE UP TO 4.30 GHz | 1 YEAR WARRANTY | 1 WEEK O...",0,11128.00,11856.00
"PROCESSOR:INTEL i3-9100","Intel� Core� i3-9100 Processor 4 Cores 4 Threads 3.60-4.20ghz DDR4-2400 | 6 MONTHS WARRANTY | 1 ...",2,7357.50,7830.00
"PROCESSOR:INTEL I5-9400","Intel� Core� i5-9400 Processor 9M CACHE, UP TO 4.10GHZ 2.90-4.10GHZ DDR4-2666 INTEL UHD GRAPHICS...",0,9018.00,9602.50
"PROCESSOR:RYZEN 3 2200G AMD","AMD RYZEN 3 2200G W/ RADEON VEGA 8 GRAPHICS | 4 CORES | 3.5GHZ BASE | 3.7GHZ MAX | 6MB SMART PRE...",0,4590.00,5217.96
"PROCESSOR:RYZEN 3 3200G AMD","AMD RYZEN 3 3200G W/ RADEON VEGA 8 GRAPHICS | 4 CORES, 4 THREADS | 3.6GHZ BASE | 4.0GHZ MAX | 6M...",0,7938.00,8526.00
"PROCESSOR:RYZEN 3 3200G TRAY TYPE","RYZEN 3 3200G TRAY TYPE] VEGA 8 GRAPHICS] 4 CORE ] 4 THREAD] 4.0 GHZ MAX BOOST",0,6211.80,6862.56
"PROCESSOR:RYZEN 3100 AMD","AMD RYZEN 3 3100 3.9GHZ 65W QUAD CORE AM4 PROCESSOR | 1 YEAR WARRANTY 1WEEK OUTRIGHT REPLACEMENT...",0,5887.35,6504.12
"PROCESSOR:RYZEN 5 2400G AMD","AMD RYZEN 5 2400G W/ RADEON RX VEGA 11 GRAPHICS | 4 CORES, 8 THREADS | 3.6GHZ BASE | 3.9 GHZ MAX...",0,7233.84,7769.68
"PROCESSOR:RYZEN 5 2600 AMD","AMD RYZEN 5 2600 | 6 CORES, 12 THREADS | 3.4GHZ BASE | 3.9GHZ MAX | 19MB SMART PREFETCH CACHE, U...",0,7200.00,8689.95
"PROCESSOR:RYZEN 5 3400G AMD","AMD RYZEN 5 3400G W/ RADEON VEGA 11 GRAPHICS | 4 CORES, 8 THREADS | 3.7GHZ BASE | 4.2GHZ MAX | 6...",0,9672.80,10396.00
"PROCESSOR:RYZEN 5 3600 AMD","AMD RYZEN 5 3600 | 6 CORES, 12 THREADS | 3.6GHZ BASE | 4.2GHZ MAX | 35MB CACHE, UNLOCKED | AM4 |...",0,10772.76,11377.46
"RAM:16GB(2X8) DDR4-3200  AVEXIR","AVEXIR 16GB DDR4 3200MHZ CORE 2 (AVD4UZ332001608G -2C2C)",0,4712.04,5196.46
"RAM:16GB(2X8) DDR4-3200 BLK CRUCIAL","CRUCIAL BALLISTIX RGB 16GB KIT 2X8GB DDR4-3200 BLACK 1.35V | BL2K8G32C16URBL",0,4380.48,4908.80
"RAM:16GB(2X8) DDR4-3200 TG DARK Z","TEAM GROUP DARK Z 2X8GB 3200MHZ DDR4 |GRAY | (TDZGD416G3200HC16CDC01) | NON-RGB | 6 MONTHS WARRA...",2,4896.10,5252.18
"RAM:4GB DDR3-1600 SKIHOTAR","SKIHOTAR 4GB DDR3-1600 1.5V CL11 SM3MJ8M3B04A11600CG",1,801.90,943.80
"RAM:8GB AVEXIR AVD4UZ","AVEXIR AVD4UZ326661908G-1COR 8GB DDR4-2666C19 1.2V",1,2244.00,2754.00
"RAM:8GB DDR3-1600 AVEXIR","AVEXIR 8GB DDR3-1600 C11 1.5V AVD3U16001108G-1BW",0,1522.61,1921.05
"RAM:8GB DDR3-1600 SKIHOTAR","SKIHOTAR 8GB DDR3 1600MHZ DESKTOP MEMORY",2,1497.10,1837.35
"RAM:8GB DDR4-2666 HYPER-X KINGSTON","KINGSTON 8GB DDR4 2666MHZ KHX426C16FB3/8 HYPER-X FURY BLACK",0,2007.18,2730.11
"RAM:8GB DDR4-2666 KIMTIGO","KIMTIGO 8GB DDR4-2666 2RX8 PC4-21300U-19 (KMKU8G868-2666V)",2,2112.18,2664.90
"RAM:8GB DDR4-2666 RAMSTA","RAMSTA 8GB DDR4 2666MHZ MEMORY",0,2057.00,2524.50
"RAM:8GB DDR4-2666 RGB AVEXIR","AVEXIR 8GB DDR4-2666 RGB CL 19-19-19-43 1.2V AVD4UZ326661908G-1C2A | AURA SYNC | CORE 2 | SPECTRUM",0,1884.60,2355.75
"RAM:8GB DDR4-3000 ZEUS TEAMGROUP","TEAMGROUP ZEUS 8GB DDR4-3000 CL16-18-18-38 1.35V TTZD48G3000HC16C01",0,1752.66,2022.30
"RAM:8GB SKIHOTAR DDR4","8GB SKIHOTAR DDR4 2666MHZ/ 6 MONTHS Warranty",0,2038.30,2502.90
"SPEAKER:INPLAY MS003 WHITE","INPLAY MS003 WHITE MINI SPEAKER | ULTRA LIGHT WEIGHT DESIGN | HIGH RESOLUTION AUDIO | W/ RGB LIGHT",6,384.75,427.50
"SPEAKER:KEYTECH S10 BLACK","KEYTECH S10 MINI SPEAKER BLACK",1,240.90,328.50
"SPEAKER:KEYTECH S10 PINK","KEYTECH S10 MINI SPEAKER PINK",2,240.90,328.50
"SPEAKER:KEYTECH S10 RED","KEYTECH S10 MINI SPEAKER RED",2,240.90,328.50
"SPEAKER:KEYTECH S10 WHITE","KEYTECH S10 MINI SPEAKER WHITE",1,240.90,328.50
"SPEAKER:REDRAGON GS550 ORPHEUS","REDRAGON ORPHEUS GS550 SPEAKER",3,605.00,786.50
"SSD:120GB AS340 PANTHER APACER","APACER 120GB AS340 PANTHER 2.5"" SATA III 6GB/S",0,1134.00,1360.80
"SSD:120GB KINGSTON A400","KINGSTON 120GB A400 SATA 3 2.5 SA400S37/120G INTERNAL SSD",0,1343.10,1648.35
"SSD:120GB KTA-300 KIMTIGO","KIMTIGO 120GB KTA-300 2.5"" SATA III 6GB/S | ULTRA FAST | NOISELESS | LIGHT | LOW POWER CONSUMPTION",0,1091.61,1306.20
"SSD:120GB WD GREEN","120GB WESTERN DIGITAL GREEN NANO SSD | WD5120G2G0A | 1 YEAR WARRANTY | 1 WEEK OUTRIGHT REPLACEMENT",3,1502.60,1844.10
"SSD:240 GB KIMTIGO KTA-300","240 GB KIMTIGO KTA- 300 2.5 SATA 3 | 6 GB/S 1 YEAR WARRANTY| 1..WEEK OUTRIGHT REPLACEMENT",0,1662.78,2097.90
"SSD:240GB A320 SKIHOTAR","SKIHOTAR 240GB A320 2.5"" SATA III 6GB/S",0,1411.30,1949.40
"SSD:240GB A400 KINGSTON","KINGSTON A400 240GB SA400S37/240G 2.5 SATA III INTERNAL SSD",1,1766.60,2197.80
"SSD:480GB WD GREEN WESTERN DIGITAL","WESTERN DIGITAL WD GREEN 480GB 2.5"" / 7MM SATA III 6GB/S | WDS480G2G0A",0,3186.00,3531.60
"SSD:HIKVISION HS-SSD-C100/240G","HIKVISION HS-SSD-C100/240G HIKVISION HS-SSD-C100/240G",0,1871.10,2296.35
"SSD:LEXAR NS10 LITE 120GB SSD","LEXAR NS10 LITE 120GB SSD",0,1210.00,1485.00
"SURGE PROTECTOR:6 SOCKETS HUNTKEY SZM604-4 6","HUNTKEY SZM604-4 6 SOCKETS 2 METERS POWER EXTENSION",1,363.60,585.80
"SURGE PROTECTOR:HUNTKEY SZM304-4 3 SOCKETS","HUNTKEY SZM304-4 3 SOCKETS 1.5 METERS SURGE PROTECTOR | OVERLOAD PROTECTION | MAX2500W-MAX10A, 2...",2,308.70,358.50
"THERMAL PASTE:DEEPCOOL Z3 SILVER GRAY","DEEPCOOL Z3 SILVER GRAY THERMAL PASTE",0,135.00,150.00
"UPS:650VA SECURE","SECURE 650VA 6-30 MINUTES RUNNING TIME 4 SOCKETS | 220VAC | 50HZ - 60HZ",0,1575.00,1944.00
"USB BLUETOOTH ADAPTER:BLUETOOTH CSR 4.0 DONGLE","BLUETOOTH CSR 4.0 DONGLE | PLUG & PLAY | 3MBPS",3,132.00,210.00
"USB HUB:ORICO W6PH4 4 PORTS","ORICO W6PH4 HUB 4 PORTS | 0.3M USB3.0 CORD | ABS | 4 SUPER SPEED USB3.0 Ports",1,403.20,480.00
"USB HUB:USB HUB 3.0/3.1 - CARD READER","USB HUB 3.0/3.1- CARD READER TYPE C",1,378.00,450.00
"USB WIFI ADAPTER:150MBPS BL-WN151 LB-LINK","LB-LINK BL-WN151 150MBPS WIRELESS N USB ADAPTER",9,165.00,255.68
"USB WIFI ADAPTER:150MBPS CF-WU815N COMFAST","COMFAST CF-WU815N 150MBPS USB WIFI RECEIVER AUTO INSTALL",2,165.00,262.50
"USB WIFI ADAPTER:300MBPS TL-WN822N TP-LINK","TP-LINK TL-WN822N 300MBPS HIGH GAIN WIFI USB ADAPTER DUAL ANTENNA / 1.5 M EXTENSION CABLE",1,855.00,1142.40
"WEBCAM:1080P COOLPRO M207 30FPS W/ MIC","1080P COOLPRO M207 30FPS W/ MIC",9,671.00,854.00
"WEBCAM:1080P FHD C1080E INPLAY","INPLAY C1080E FHD 1080P HD | USB 2.0 | HIGH-SPEED | BUILT-IN NOISE ISOLATING MICROPHONE | PLUG &...",0,849.285,999.57
"WEBCAM:480P PK-835G A4TECH","A4TECH PK-835G 480P 16MP ANTI GLARE CLIP | 30FPS | USB 2.0 | COATING LENS | FIXED FOCUS | W/ MIC...",1,648.00,786.50
"WEBCAM:720P REDRAGON GW600","REDRAGON GW600 FOBOS 720P 30FPS WEBCAM | 3 MONTHS WARRANTY | 1 WEEK OUTRIGHT REPLACEMENT ONLY",2,1188.00,1458.00
"WEBCAM:GSOU T16S WITH LED 1080P","GSOU T16S WITH LED 1080P 30FPS FULL HD WITH BUILT IN MICROPHONE 1 MOTH WARRANTY 3 DAYS OUTHRIGHT...",0,1123.10,1378.35
"WEBCAM:INTELLIGENT EG-173 PC CAMERA","INTELLIGENT MGLE EG-173 STAND WEB CAMERA",7,303.75,375.00
