"Item","Description","Quantity","Cost","Price"
"CHASSIS:INPLAY ESPORT 06 BLACK","INPLAY ESPORT 06 BLACK | E-ATX, MICRO ATX | TEMPERED SIDE PANEL | W/ LED | 1 MONTH WARRANTY | 3 ...",1,1185.80,1455.30
"CHASSIS:INPLAY ESPORT 06 PINK","INPLAY ESPORT 06 PINK | E-ATX, MICRO ATX | TEMPERED SIDE PANEL | W/ LED | 1 MONTH WARRANTY | 3 D...",1,1206.45,1551.15
"CHASSIS:INPLAY ESPORT 06 WHITE","INPLAY ESPORT 06 WHITE | E-ATX, MICRO ATX | TEMPERED SIDE PANEL | W/ LED | 1 MONTH WARRANTY | 3 ...",0,1206.45,1551.15
"CHASSIS:INPLAY ESPORT03 PINK RGB STRIP","INPLAY ESPORT 03 PINK TEMPERED SIDE PANEL W/ RGB STRIP FITS ATX, MICRO ATX, MINI ATX,  | 1 MONTH...",0,1137.40,1395.90
"CHASSIS:INPLAY LITE X1","INPLAY LITE X1 COMPUTER CASE",3,344.30,453.85
"CHASSIS:INPLAY METEOR 01","INPLAY METEOR 01 | ATX, MICRO ATX, MINI ITX | TEMEPERED GLASS SIDE PANEL & FRONT | 12CM*6 | 2*HD...",0,856.575,1008.15
"CHASSIS:INPLAY METEOR 05","INPLAY METEOR 05 | ATX,MATX,MITX, | TEMPERED SIDE PANEL | MESH FRONT",1,1171.25,1303.40
"CHASSIS:INPLAY METEOR 3 WHITE TEMPERED","INPLAY METEOR 3 WHITE TEMPERED SIDE PANEL MICRO ATX MINI ATX NO FAN[ 1 MONTH WARRANTY 1 WEEK OUT...",0,1250.70,1534.95
"CHASSIS:INPLAY WIND 01","INPLAY WIND 01 ACRYLIC SIDE PANEL | HONEYCOMB DESIGN | MICRO ATX | MINI-ITX | 2X120MM | 1X80MM |...",0,576.40,765.39
"CHASSIS:INPLAY WIND 02","INPLAY WIND 02 |  ACRYLIC SIDE PANEL | HONEYCOMB DESIGN | MICRO ATX | MINI-ITX | 2X120MM | 1X80M...",0,692.55,733.59
"CHASSIS:KEYTECH T1000 WITH 4 PCS RGB","KEYTECH T1000 WITH 4 PCS RGB FAN TEMPERED SIDE PANEL ATX, MATX MINI ITXT",0,1574.10,1931.85
"CHASSIS:NOVUS VERTEX 950","NOVUS VERTEX 950 | ACRYLIC SIDE PANEL | FIT TO ATX TO MATX | 2*HDD, 2*SSD, 1*FDD, 2*CD | W/ 3PCS...",0,876.70,1117.20
"CHASSIS:SHARKOON TG4 ATX GAMING CASE","SHARKOON TG4 RGB ATX GAMING CASE | MINI-ITX, MICRO-ATX, ATX | 3X120MM RGB FAN, 1X120MM RGB FAN I...",0,2947.32,3547.70
"CHASSIS:T850 KEYTECH TEMPERED  GLASS","T850 KEYTECH TEMPERED  GLASS GAMING CASE",1,1049.40,1335.60
"CHASSIS:VIKINGS-SHIELD VKS-30","VIKINGS-SHIELD VKS-30 | TEMPERED GLASS GAMING CASE | ATX, MICRO ATX, MINI ITX | 2*HDD, 2*SSD, 2*...",0,2655.00,3289.00
"COMPUTER TABLE:KENSONIC TC-6810","KENSONIC TC-6810 TABLE",1,1043.28,1309.00
"CPU COOLER:CPU COOLER E126MR 92W","CPU COOLER E126MR 92W CPU COOLER | RED 15 DAYS WARRANTY 3 DAYS OUTRIGHT REPLACEMENT",0,253.00,345.00
"CPU COOLER:INPLAY ICE 120 AIO ARGB BLACK","INPLAY ICE 120 AIO BLACK | ARGB LIQUID COOLING FAN | 1*120MM PWM FANS",0,1404.00,1798.20
"CPU COOLER:INPLAY ICE 240 AIO ARGB BLACK","INPLAY ICE 240 AIO BLACK | ARGB LIQUID COOLING FAN | 2*120MM PWM FANS",2,1995.55,2517.75
"CPU COOLER:INPLAY ICE 240 AIO ARGB WHITE","INPLAY ICE 240 AIO WHITE | ARGB LIQUID COOLING FAN | 2*120MM PWM FANS",0,2047.50,2764.13
"GAMING CHAIR:NOVUS CGW-501RD W/ FOOTREST","NOVUS CGW-501RD RED BLACK W/ FOOTREST 90-135 DEGREE RECLINING GAMING CHAIR",0,4851.00,5451.60
"GRAPHICS CARD:ASUS PH GTX 1050Ti","ASUS PH GTX 1050Ti PHOENIX 4GB DDR5 128 BIT [SINGLE FAN{ AUTO EXTREME{",0,7956.36,8789.88
"GRAPHICS CARD:COLORFUL GT710 2GB","2GB COLORFUL GT710 VGA  | 1 YEAR WARRANTY",1,2750.00,3250.00
"GRAPHICS CARD:GIGABYTE GF210 1GB","1GB GIGABYTE GF210 DDR3 64 BIT",1,2585.00,3055.00
"GRAPHICS CARD:GTX1050 TI GEFORCE 4GB MSI","MSI GEFORCE GTX1050 TI 4GT 4GB OCV1 GDDR5 128-BIT DISPLAY PORT, HDMI, DL-DVI-D",0,8517.60,9328.80
"GRAPHICS CARD:GTX1650 STORMX 4GB PALIT","PALIT GEFORCE GTX1650 STORMX 4GB GDDR6 128BIT",0,7700.589,8556.21
"GRAPHICS CARD:GTX1660 TI AERO ITX GEFORCE MSI","MSI AERO ITX GEFORCE GTX1660 TI | 6GB GDDR6 | DIRECTX12 | TURING SHADERS | ANSEL | 192-BIT | DIS...",0,15520.167,17244.63
"GRAPHICS CARD:POWERCOLOR RED DRAGON RX550 4GB","POWERCOLOR RED DRAGON PC AXRX550 4GBD5-DH I 4GB DDR5 I SINGLE FAN I 128BIT I 2 YEARS WARRANTY 1 ...",0,8709.80,9105.70
"GRAPHICS CARD:RX570 8GB RADEON MSI","MSI RADEON RX570 8GB | DIRECTX12 | VULKAN | CHILL | FREESYNC 2 | RELIVE CAPTURE | 256-BIT | 8GB ...",0,9072.00,10350.00
"HEADSET:INPLAY H2 RGB","INPLAY H2 RGB HEADSET | RGB LED W/ MICROPHONE",0,211.95,235.50
"HEADSET:INPLAY HN620","INPLAY HN620 CLEAR HD NOISE CANCELLING HEADSET | W/ MIC | USB TYPE | GOOD FOR CALL CENTER & VIDE...",3,639.00,810.81
"HEADSET:INTELLIGENT INT-S08","INTELLIGENT INT-S08 MULTIMEDIA STEREO HEADSET W/ MICROPHONE",1,291.60,360.00
"HEADSET:REDRAGON ARES H120","REDRAGON ARES H120 GAMING HEADSET | HIGHLY ADJUSTABLE NOISE CANCELLING MICROPHONE FOR OPTIMIZED ...",1,396.00,507.69
"INTERNAL HDD:1TB BARRACUDA SEAGATE","SEAGATE 1TB BARRACUDA ST1000DM010 7200RPM SATA 3.5",2,2157.10,2604.84
"INTERNAL HDD:500GB PIPELINE HD SEAGATE","SEAGATE 500GB ST3500414CS PIPELINE HD",2,663.30,862.29
"INTERNAL HDD:500GB SEAGATE DISTRO BRANDNEW","500GB SEAGATE DISTRO 3.5 7200RPM",0,1293.75,1552.50
"KEYBOARD:PENBLE PB-5000","PENBLE PB-5000 | 19 KEYS NO CONFLICT RED LED GAMING KEYBOARD W/ METAL PANEL SIDE",3,450.00,570.00
"KEYBOARD & MOUSE:BLACK IT&T KEYBOARD/MOUSE BUNDL","DD-959 BLACK IT&T DD-959 KEYBOARD AND MOUSE COMBO WITH LED I BLACK I  1 MONTH WARRANTY | 1 WEEK ...",2,290.40,396.00
"KEYBOARD & MOUSE:DELUX K6005U+M331BU","DELUX K6005U+M331BU OFFICE KEYBOARD  AND MOUSE BUNDLE | LASER GRAVED | 15 DAYS WARRANTY | 3 DAYS...",1,343.20,468.00
"KEYBOARD & MOUSE:INPLAY STX200","INPLAY STX200 WIRED KEYBOARD & MOUSE W/ RAINBOW BACKLIGHT",2,295.65,328.50
"KEYBOARD & MOUSE:INPLAY STX360","INPLAY STX360 WIRED KEYBOARD & MOUSE W/ RAINBOW BACKLIGHT",0,283.80,387.00
"KEYBOARD & MOUSE:INPLAY STX520 DARK KNIGHT","INPLAY STX520 DARK KNIGHT | SUSPENSION KEYCAPESS | WIRED KEYBOARD & MOUSE W/ RAINBOW BACKLIGHT",1,445.50,587.25
"KEYBOARD & MOUSE:REDRAGON S101-3","REDRAGON S101-3 WIRED GAMING KEYBOARD & MOUSE COMBO W/ RGB BACKLIGHT",3,990.00,1260.00
