"Item","Description","Quantity","Cost","BranchCost","Price"
"CASE FAN:12CM*3 KEYTECH STORM X3 MUSIC","KEYTECH STORM X3 ARGB COOLING FANS 3 IN 1 MUSIC SYNC GAMING FAN | 12CM*3 | 6 PIN CONNECTOR | ARG...",0,648.00,712.8,926.64
"CASE FAN:12CM*3 KEYTECH STORM X3 PRO","KEYTECH STORM X3 PRO ARGB COOLING FANS 3 IN 1 GAMING FAN | 12CM*3 | 6 PIN CONNECTOR | ARGB LIGHT...",0,648.00,712.8,926.64
"CASE FAN:8CM*1 ADLINK BLACK","ADLINK 8CM BLACK SINGLE FAN",0,35.00,38.5,52.50
"CASE FAN:8CM*1 GENERIC LED FAN","GENERIC FAN 80CM LED FAN",1,75.00,82.5,112.50
"CASE W/ PSU:FUZION MINI ATX | 165 -22","FUZION MINI ATX ACRYLIC SIDE WITH 700 WATTS POWER SUPPLY | 2X RGB FAN | 165 -22 | 1 MONTH WARRAN...",8,1200.00,1320,1620.00
"CASE W/ PSU:FUZION MINI ATX CASE | 275-D001","FUZION MINI ATX CASE WITH 700 WATTS POWER SUPPLY | 275-D001 | 1 MONTH WARRANTY ON ELECTRONICS PA...",0,750.00,825,1072.50
"CASE W/ PSU:FUZION PINK HELA SERIES","FUZION HELA SERIES ATX TEMPERED GLASS GAMING CASE | PINK | CP01 | WITH 700 WATTS POWER SUPPLY | ...",3,2050.00,2255,2767.50
"CCTV:DAHUA 8CH KIT DH-KIT/XVR5108HS-","DAHUA 8CH KIT DH-KIT/XVR5108HS-2MP 4PCS DOME & 4 PCS BULLET 8PCS(18M) COAXIAL CABLE 2PC 1:4 SPLI...",0,10034.00,10736.38,11438.76
"CCTV:DAHUA DH-KIT/XVR4108C-S2","DAHUA DH-KIT/XVR4108C-S2 8PCS(BULLET 1MP) 8PCS(18M COXIAL CABLE) 1PC(8WAY CABLE | 1YR WTY | 1MON...",0,6409.00,6921.72,7434.44
"CCTV:DAHUA DH-KIT/XVR5104HS-X1","Dahua DH-KIT/XVR5104HS-X1 4PVS (BULLET 2MP) 4PCS ( 18M COXIAL CABLE) 1PC ( 4WAY CABLE) | 1YR WTY...",0,5971.00,6448.68,6926.36
