,"Item","Description","Quantity","Cost","Price"
,"USB HUB:USB HUB 3.0/3.1 - CARD READER","USB HUB 3.0/3.1- CARD READER TYPE C",1,330.00,450.00
,"USB WIFI ADAPTER:150MBPS BL-WN151 LB-LINK","LB-LINK BL-WN151 150MBPS WIRELESS N USB ADAPTER",0,165.00,300.00
,"USB WIFI ADAPTER:150MBPS CF-WU815N COMFAST","COMFAST CF-WU815N 150MBPS USB WIFI RECEIVER AUTO INSTALL",5,165.00,262.50
,"WEBCAM:480P PK-835G A4TECH","A4TECH PK-835G 480P 16MP ANTI GLARE CLIP | 30FPS | USB 2.0 | COATING LENS | FIXED FOCUS | W/ MIC...",0,605.00,786.50
,"WEBCAM:720P RED DRAGON FOBOS","720P RED DRAGON FOBOS",0,1134.00,1458.00
,"WEBCAM:Coolpro M207 1920x1080P USB 2.0","Coolpro M207 1920x1080P USB 2.0 Built in Mic 6 months warranty I 1 WEEK OUTRIGHT REPLACEMENT",9,671.00,854.00
,"WEBCAM:GSOU T16S 1080P 30FPS","GSOU T16S WITH LED 1080P 30FPS FULL HD WITH BUILD IN MICROPHONE | 1 MONTH WARRANTY | 3 DAYS OUTR...",0,1123.10,1378.35
,"WIFI ROUTER:TP-LINK DECO M5","TP-LINK DECO M5 (1-PACK) AC1300 WHOLE..HOME MESH WIFI SYSTEM | CONNECT OVER..100 DEVICES, DUALBA...",1,4105.50,4692.00
,"WIFI ROUTER:TP-LINK LB130 KASA SMART","TP-LINK LB130 KASA SMART WI-FI LED BULB W/ MILTI COLOUR | MANAGE REMOTELY | SAVE ENERGY | 6 MONT...",1,2281.65,2933.55
,"WIFI ROUTER:TP-LINK PA7010P-KIT AV1000 GIGA","TP-LINK PA7010P-KIT AV1000 GIGABIT..PASSTHROUGH POWERLINE STARTER KIT |..6 MONTHS WTY | 15 DAYS ...",0,4016.25,4590.00
