,"Item","Description","Quantity","Cost","Price"
,"CHASSIS:VIKINGS VKS-23","VIKING SHIELD VKS-23 RGB W/ 3 12CM FAN GAMING TEMPERED GLASS HIGH END CASE",1,2783.00,3289.00
,"CHASSIS:Z-001 FUZION REGULAR ATX TEMPER","Z-001 FUZION REGULAR ATX TEMPERED GLASS/PSU 700W AND 3x RGB FAN",2,1925.00,2362.50
,"CPU COOLER:INPLAY ICE 120 AIO ARGB BLACK","INPLAY ICE 120 AIO BLACK | ARGB LIQUID COOLING FAN | 1*120MM PWM FANS",1,1425.24,1798.20
,"CPU COOLER:INPLAY ICE 240 AIO ARGB BLACK","INPLAY ICE 240 AIO BLACK | ARGB LIQUID COOLING FAN | 2*120MM PWM FANS",1,1995.55,2517.75
,"CPU COOLER:INPLAY ICE 240 AIO ARGB WHITE","INPLAY ICE 240 AIO WHITE | ARGB LIQUID COOLING FAN | 2*120MM PWM FANS",0,2079.01,2764.13
,"CPU COOLER:PC COOLER E126MR","PC COOLER E126MR 92W CPU COOLER | RED | 15 DAYS WARRANTY | 3 DAYS OUTRIGHT REPLACEMENT",1,253.00,345.00
,"GAMING CHAIR:NOVUS CGW-501RD W/ FOOTREST","NOVUS CGW-501RD RED BLACK W/ FOOTREST 90-135 DEGREE RECLINING GAMING CHAIR",1,4851.00,5451.60
,"GAMING TABLE:INPLAY T1 RGB GAMING TABLE | BL","INPLAY T1 RGB GAMING TABLE | BLACK |126 x 66 x 60 CM |1 MONTH WARRANTY | 1 WEEK OUTRIGHT REPLACE...",1,4196.50,4578.00
,"GRAPHICS CARD:ASUS ROG STRIX RX5500XT 8GB","ASUS ROG STRIX RX5500XT 8GB..GAMING/DUAL FAN/GDDR6 128BIT/..AURASYNC | 1 YEAR WARRANTY 1 WEEK..O...",1,13060.95,14304.85
,"GRAPHICS CARD:GTX1050 TI GEFORCE 4GB MSI","MSI GEFORCE GTX1050 TI 4GT 4GB OCV1 GDDR5 128-BIT DISPLAY PORT, HDMI, DL-DVI-D",0,8679.84,8679.84
,"GRAPHICS CARD:GTX1660 TI AERO ITX GEFORCE MSI","MSI AERO ITX GEFORCE GTX1660 TI | 6GB GDDR6 | DIRECTX12 | TURING SHADERS | ANSEL | 192-BIT | DIS...",0,15520.167,17244.63
,"HEADSET:INPLAY H2 RGB","INPLAY H2 RGB HEADSET | RGB LED W/ MICROPHONE",1,172.70,235.50
,"HEADSET:REDRAGON ARES H120","REDRAGON ARES H120 GAMING HEADSET | HIGHLY ADJUSTABLE NOISE CANCELLING MICROPHONE FOR OPTIMIZED ...",4,396.00,540.00
,"INTERNAL HDD:1TB BARRACUDA SEAGATE","SEAGATE 1TB BARRACUDA ST1000DM010 7200RPM SATA 3.5",1,2157.10,2647.35
,"INTERNAL HDD:500GB PIPELINE HD SEAGATE","SEAGATE 500GB ST3500414CS PIPELINE HD",2,663.30,862.29
,"INTERNAL HDD:500GB WESTERN DIGITAL GREEN","500GB WD WD5000AUDX | 5900 RPM 32 MB 3.5 SATA  |3 MONTHS WARRANTY | 1 3 DAYS OUTRIGHT REPLACEMENT",10,723.80,940.94
,"KEYBOARD:DELUX GAME TITAN T9U WIRED SING","DELUX GAME TITAN T9U WIRED SINGLE..HAND GAMING KEYPAD BLUE COLOR..BACKLIGHT | 15 DAYS WARRANTY |...",1,982.30,1250.20
,"KEYBOARD:HANDED GAMING KEYPAD 4 MACRO SI","DELUX T9X WIRED MECHANICAL SINGLE..HANDED GAMING KEYPAD 4 MACRO SIDE..KEYS | 1 YR WTY | 15 DAYS ...",1,1854.31,2339.55
,"KEYBOARD:HP GK400Y RAINBOW BACKLIT","HP GK400Y RAINBOW BACKLIT (SILVER)..MECHANICAL GAMING KEYBOARD | 6..MONTHS WARRANTY | 1 WEEK OUT...",1,1502.28,1895.40
,"KEYBOARD & MOUSE:4 IN 1 CLEVER KEYBOARD/MOUSE/HE","4 IN 1 CLEVER KEYBOARD/MOUSE/HEADSET/MOUSEPAD BUNDLE",3,715.00,929.50
,"KEYBOARD & MOUSE:BLACK IT&T KEYBOARD/MOUSE BUNDL","DD-959 BLACK IT&T DD-959 KEYBOARD AND MOUSE COMBO WITH LED I BLACK I 1 MONTH WARRANTY |  1 WEEK ...",5,290.40,396.00
,"KEYBOARD & MOUSE:DELUX K6005U+M331BU","DELUX K6005U+M331BU OFFICE KEYBOARD  AND MOUSE BUNDLE | LASER GRAVED | 15 DAYS WARRANTY | 3 DAYS...",4,343.20,468.00
,"KEYBOARD & MOUSE:INPLAY STX200","INPLAY STX200 WIRED KEYBOARD & MOUSE W/ RAINBOW BACKLIGHT",1,240.90,328.50
,"KEYBOARD & MOUSE:INPLAY STX360","INPLAY STX360 WIRED KEYBOARD & MOUSE W/ RAINBOW BACKLIGHT",0,283.80,387.00
,"KEYBOARD & MOUSE:INPLAY STX520 DARK KNIGHT","INPLAY STX520 DARK KNIGHT | SUSPENSION KEYCAPESS | WIRED KEYBOARD & MOUSE W/ RAINBOW BACKLIGHT",1,445.50,587.25
,"KEYBOARD & MOUSE:REDRAGON S101-3","REDRAGON S101-3 WIRED GAMING KEYBOARD & MOUSE COMBO W/ RGB BACKLIGHT",4,990.00,1260.00
,"KEYBOARD & MOUSE:REDRAGON S107 3 IN 1 ESSENTIALS","REDRAGON S107 3 IN 1 GAMING ESSENTIALS KEYBOARD MOUSE AND MOUSEPAD",3,1155.00,1417.50
,"KMHE BUNDLE:INPLAY STX240 BLACK COMBO","INPLAY STX 240 BLACK COMBO | KEYBOARD, MOUSE, HEADSET | 15 DAYS WARRANTY | 3 DAYS OUTRIGHT REPLA...",1,482.90,636.55
,"KMHE BUNDLE:INPLAY STX540 BLACK","INPLAY STX540 BLACK 4 IN 1 COMBO GAMING KEYBOARD, MOUSE, HEADSET, EXTENDED MOUSEPAD | METAL FRAM...",0,968.00,1355.20
,"KMHE BUNDLE:INPLAY STX540 PINK","INPLAY STX540 PINK 4 IN 1 COMBO GAMING KEYBOARD, MOUSE, HEADSET, EXTENDED MOUSEPAD | METAL FRAME...",2,1027.40,1386.99
,"KMHE BUNDLE:INPLAY STX540 WHITE","INPLAY STX540 WHITE 4 IN 1 COMBO GAMING KEYBOARD, MOUSE, HEADSET, EXTENDED MOUSEPAD | METAL FRAM...",1,1027.40,1386.99
,"MONITOR:18.5 INCHES P19B G4 LED HP","HP 18.5"" P19B G4 LED DIAGONAL WXGA | 1366X768 | 16:9 | 5MS | HDMI, VGA | ANTI-REFLECTIVE | BLUE ...",4,3071.88,3858.40
,"MONITOR:19 INCHES 1901F KINGDOM","KINGDOM 19"" 1901F 1366*768P HD 60HZ 4MS 16.7M 16:9",1,2362.50,3037.50
,"MONITOR:19 INCHES N190 LED NVISION","NVISION N190 19"" LED | 1400X900 | 60HZ | 80/80/80/80 | 5MS | TN | 250CD/M2",2,2356.20,2784.60
,"MONITOR:21.5"" FUZION WIDE LED SCREEN 75","21.5"" FUZION WIDE LED SCREEN 75HZ..6MOS WARRANTY/3 DAYS REPLACEMENT ONLY..SN: 192020-0576",0,3547.50,4031.25
,"MONITOR:21.5"" PHILIPS - BLACK MONITOR","PHILIPS 221V9/93 BLACK 21.5"" FULL HD 1920 X 1080 | FRAMELESS | HDMI | WVA | LOW BLUE MODE | 6 MO...",0,4966.04,5376.08
,"MONITOR:22"" GOMA LED MONITOR","GOMA G2150HD 22"" LED MONITOR I TN PANEL I VGA,HDMI I 1920X1080FHD",3,3531.00,4012.50
,"MONITOR:24 INCHES GT24MV 144HZ NVISION","NVISION GT24MV IPS 24"" FLAT 144HZ FHD GAMING MONITOR | 1920 X 1080 | 5MS/HDMI, DP, USB/ FREESYNC",0,7279.65,8042.28
,"MONITOR:24 INCHES IP24V1 IPS NVISION","NVISION 24"" IP2V1 IPS | 1920X1080 FHD | 75HZ | 23.8"" | 5MS | 300CD/M2 | 3000:1",0,5445.30,6016.92
,"MONITOR:24 INCHES XC24S V3 BLK NVISION","NVISION 24"" XC24S V3 CURVED BLACK | 1920X1080 FHD | 75HZ | 5MS | 3000R | HDMI, VGA | VERSION 3",0,4513.95,5072.82
,"MONITOR:24"" IPS FUZION WIDE LED 75HZ","24"" IPS FUZION WIDE LED 75HZ",0,4620.00,4956.00
,"MONITOR:24"" NOVUS 24UMPH 24 INCH LED","NOVUS 24UMPH 24 INCH LED MONITOR | FRAMELESS | 60HZ | LED 1920X1080 | MOUNTABLE / VGA, HDMI | 6 ...",0,4629.45,5962.40
,"MONITOR:27 INCHES CURVED NVISION","NVISION IN27C18 CURVE 75HZ 27"" WHITE GAMING MONITOR",0,7279.65,8042.28
,"MONITOR:VIEWSONIC VA2223-H 22"" 1080P HD","VIEWSONIC VA2223-H 22"" 1080P HDMI AND VGA INPUT VESA MOUNTABLE 1 YEAR WARRANTY | 1 WEEK OUTRIGHT...",1,4876.20,5327.70
,"MOTHERBOARD:A320M-S2H GIGABYTE","GIGABYTE A320M-S2H | AM4 | DUAL DDR4 | HDMI, DVI-D, D-SUB | 1*M.2 | SUPPORTS RYZEN & ATHLON SERI...",0,2625.00,3250.00
,"MOTHERBOARD:A320M PRO PLUS MSI","MSI A320M PRO PLUS SOCKET AM4 DDR4",6,2795.10,3303.30
,"MOTHERBOARD:ASROCK B460M STEEL LEGEND","ASROCK B460M STEEL LEGEND..(90-MXBDQ0-A0UAYZ) / HDMI DISPLAYPORT..GRAPHICS OUTPUT / 2 YEARS WARR...",1,6002.85,6631.72
,"MOTHERBOARD:B450 GIGABYTE S2H V2","GIGABYTE B450S2H V2 AMD SOCKET AM4 2 DDR4 2-CH/ PCI-EX 16/MICRO ATX USB 3.1 GEN 1/ M.2 SOCKET 3 ...",3,4232.80,4631.50
,"MOTHERBOARD:B450M-A  ASUS PRIME II","ASUS B450 PRIME B450M-A II AM4 DDR4 32MB BIOS MICRO ATX/AURA SYNC/ 1 YEAR WARRANTY 1 WEEK OUTRIG...",0,4355.64,4894.91
,"MOTHERBOARD:B550M MSI MAG BAZOOKA","MSI MAG B550M BAZOOKA | AM4 | 4*DDR4-4400(OC) DUAL CHANNEL | 1*M.2 | NVME SSD READY | PCIE 4.0 R...",1,7409.82,7885.68
,"MOTHERBOARD:FM2A68HM-S1 FM2+ DDR3 GIGABYTE","GIGABYTE FM2A68H-S1 FM2+ DDR3 USB 3.0",1,2370.90,2935.40
,"MOTHERBOARD:FM2A68M-DG3+ ASROCK","ASROCK FM2A68M-DG3+ | FM2 100W | FM2+ 95W | A68H (BOLTON-D2H) | 2*DDR3 2400+(OC) | D-SUB, DVI-D ...",0,2164.185,2935.40
,"MOTHERBOARD:GIGABYTE B550 GAMING X GAMING","GIGABYTE B550 GAMING X GAMING MOTHERBOARD  1 YEAR WARRANTY | 1 WEEK REPLACEMENT",1,8048.56,8491.60
,"MOTHERBOARD:H310M-H GIGABYTE 2.0 INTEL","Gigabyte GA-H310M-H 2.0 Intel H310 Ultra Durable motherboard | 6 MONTHS WARRANTY | 1 MONTH REPLA...",2,3135.00,3705.00
